2022-04-29 20:12:58.324702: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-04-29 20:12:58.577398: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:84:00.0
totalMemory: 7.93GiB freeMemory: 5.65GiB
2022-04-29 20:12:58.577487: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:84:00.0, compute capability: 6.1)
hidden_units:128
numHist:0
item_emb(graph):False
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:3000
gcl_w:0.01
user_emb:False
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
loading adjcent table from adj folder
ready
128
logloss: 0.8437	 test_gauc: 0.5086	 test_auc: 0.5100
Epoch 0 Global_step 1000	Train_loss: 0.6567	Trainlogloss: 0.6567	logloss: 0.6260	Eval_GAUC: 0.6693	Eval_AUC: 0.6690	Inference_time: 20.8031
Epoch 0 Global_step 2000	Train_loss: 0.6187	Trainlogloss: 0.6187	logloss: 0.6133	Eval_GAUC: 0.6929	Eval_AUC: 0.6953	Inference_time: 23.6668
Epoch 0 Global_step 3000	Train_loss: 0.6051	Trainlogloss: 0.6051	logloss: 0.6053	Eval_GAUC: 0.7061	Eval_AUC: 0.7083	Inference_time: 23.5433
Epoch 0 Global_step 4000	Train_loss: 0.5987	Trainlogloss: 0.5987	logloss: 0.5969	Eval_GAUC: 0.7180	Eval_AUC: 0.7189	Inference_time: 21.3425
Epoch 0 Global_step 5000	Train_loss: 0.5864	Trainlogloss: 0.5864	logloss: 0.5901	Eval_GAUC: 0.7264	Eval_AUC: 0.7274	Inference_time: 25.4630
Epoch 0 Global_step 6000	Train_loss: 0.5820	Trainlogloss: 0.5820	logloss: 0.5848	Eval_GAUC: 0.7331	Eval_AUC: 0.7349	Inference_time: 25.4958
Epoch 0 Global_step 7000	Train_loss: 0.5729	Trainlogloss: 0.5729	logloss: 0.5812	Eval_GAUC: 0.7406	Eval_AUC: 0.7415	Inference_time: 25.5888
Epoch 0 Global_step 8000	Train_loss: 0.5710	Trainlogloss: 0.5710	logloss: 0.5736	Eval_GAUC: 0.7539	Eval_AUC: 0.7550	Inference_time: 24.1871
Epoch 0 Global_step 9000	Train_loss: 0.5603	Trainlogloss: 0.5603	logloss: 0.5637	Eval_GAUC: 0.7709	Eval_AUC: 0.7715	Inference_time: 26.1743
Epoch 0 Global_step 10000	Train_loss: 0.5529	Trainlogloss: 0.5529	logloss: 0.5559	Eval_GAUC: 0.7760	Eval_AUC: 0.7785	Inference_time: 26.3092
Epoch 0 Global_step 11000	Train_loss: 0.5442	Trainlogloss: 0.5442	logloss: 0.5517	Eval_GAUC: 0.7799	Eval_AUC: 0.7834	Inference_time: 26.4674
