2022-04-29 20:29:04.093660: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-04-29 20:29:04.365530: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:02:00.0
totalMemory: 7.93GiB freeMemory: 7.82GiB
2022-04-29 20:29:04.365589: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:02:00.0, compute capability: 6.1)
hidden_units:128
numHist:0
item_emb(graph):True
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:3000
gcl_w:0.01
user_emb:False
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
loading adjcent table from adj folder
ready
128
logloss: 0.7316	 test_gauc: 0.5106	 test_auc: 0.5104
Epoch 0 Global_step 1000	Train_loss: 0.5728	Trainlogloss: 0.5728	logloss: 0.5485	Eval_GAUC: 0.7816	Eval_AUC: 0.7832	Inference_time: 33.4028
Epoch 0 Global_step 2000	Train_loss: 0.5437	Trainlogloss: 0.5437	logloss: 0.5444	Eval_GAUC: 0.7869	Eval_AUC: 0.7887	Inference_time: 32.5122
Epoch 0 Global_step 3000	Train_loss: 0.5350	Trainlogloss: 0.5350	logloss: 0.5452	Eval_GAUC: 0.7918	Eval_AUC: 0.7937	Inference_time: 34.1944
Epoch 0 Global_step 4000	Train_loss: 0.5299	Trainlogloss: 0.5299	logloss: 0.5278	Eval_GAUC: 0.8094	Eval_AUC: 0.8101	Inference_time: 35.3482
Epoch 0 Global_step 5000	Train_loss: 0.4925	Trainlogloss: 0.4925	logloss: 0.5034	Eval_GAUC: 0.8288	Eval_AUC: 0.8302	Inference_time: 34.9394
Epoch 0 Global_step 6000	Train_loss: 0.4788	Trainlogloss: 0.4788	logloss: 0.5081	Eval_GAUC: 0.8259	Eval_AUC: 0.8275	Inference_time: 27.6302
Epoch 0 Global_step 7000	Train_loss: 0.4659	Trainlogloss: 0.4659	logloss: 0.4979	Eval_GAUC: 0.8345	Eval_AUC: 0.8364	Inference_time: 35.3144
Epoch 0 Global_step 8000	Train_loss: 0.4688	Trainlogloss: 0.4688	logloss: 0.5055	Eval_GAUC: 0.8360	Eval_AUC: 0.8380	Inference_time: 36.5383
Epoch 0 Global_step 9000	Train_loss: 0.4653	Trainlogloss: 0.4653	logloss: 0.4922	Eval_GAUC: 0.8424	Eval_AUC: 0.8439	Inference_time: 39.0339
Epoch 0 Global_step 10000	Train_loss: 0.4600	Trainlogloss: 0.4600	logloss: 0.4873	Eval_GAUC: 0.8468	Eval_AUC: 0.8498	Inference_time: 39.5484
Epoch 0 Global_step 11000	Train_loss: 0.4564	Trainlogloss: 0.4564	logloss: 0.4788	Eval_GAUC: 0.8462	Eval_AUC: 0.8498	Inference_time: 29.2459
Epoch 0 Global_step 12000	Train_loss: 0.4523	Trainlogloss: 0.4523	logloss: 0.4865	Eval_GAUC: 0.8448	Eval_AUC: 0.8479	Inference_time: 48.4143
Epoch 0 Global_step 13000	Train_loss: 0.4510	Trainlogloss: 0.4510	logloss: 0.4736	Eval_GAUC: 0.8516	Eval_AUC: 0.8546	Inference_time: 59.1285
Epoch 0 Global_step 14000	Train_loss: 0.4483	Trainlogloss: 0.4483	logloss: 0.4687	Eval_GAUC: 0.8537	Eval_AUC: 0.8562	Inference_time: 60.5272
Epoch 0 Global_step 15000	Train_loss: 0.4470	Trainlogloss: 0.4470	logloss: 0.4700	Eval_GAUC: 0.8541	Eval_AUC: 0.8563	Inference_time: 58.4930
