2022-04-29 20:30:09.230738: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-04-29 20:30:09.444213: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:03:00.0
totalMemory: 7.93GiB freeMemory: 7.82GiB
2022-04-29 20:30:09.444278: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:03:00.0, compute capability: 6.1)
hidden_units:128
numHist:0
item_emb(graph):True
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:3000
gcl_w:0.01
user_emb:True
gnn_user_emb:True
gcl_user_emb:False
start constructing adjcent table
loading adjcent table from adj folder
ready
128
logloss: 0.6933	 test_gauc: 0.5123	 test_auc: 0.5099
Epoch 0 Global_step 1000	Train_loss: 0.5717	Trainlogloss: 0.5717	logloss: 0.5490	Eval_GAUC: 0.7812	Eval_AUC: 0.7824	Inference_time: 175.1255
Epoch 0 Global_step 2000	Train_loss: 0.5438	Trainlogloss: 0.5438	logloss: 0.5439	Eval_GAUC: 0.7869	Eval_AUC: 0.7896	Inference_time: 176.6273
Epoch 0 Global_step 3000	Train_loss: 0.5349	Trainlogloss: 0.5349	logloss: 0.5450	Eval_GAUC: 0.7903	Eval_AUC: 0.7938	Inference_time: 175.8195
Epoch 0 Global_step 4000	Train_loss: 0.5328	Trainlogloss: 0.5328	logloss: 0.5377	Eval_GAUC: 0.7954	Eval_AUC: 0.7992	Inference_time: 173.7654
Epoch 0 Global_step 5000	Train_loss: 0.5206	Trainlogloss: 0.5206	logloss: 0.5277	Eval_GAUC: 0.8047	Eval_AUC: 0.8089	Inference_time: 175.3723
Epoch 0 Global_step 6000	Train_loss: 0.4951	Trainlogloss: 0.4951	logloss: 0.5098	Eval_GAUC: 0.8207	Eval_AUC: 0.8249	Inference_time: 176.3451
Epoch 0 Global_step 7000	Train_loss: 0.4690	Trainlogloss: 0.4690	logloss: 0.5015	Eval_GAUC: 0.8301	Eval_AUC: 0.8348	Inference_time: 180.5004
Epoch 0 Global_step 8000	Train_loss: 0.4681	Trainlogloss: 0.4681	logloss: 0.4992	Eval_GAUC: 0.8352	Eval_AUC: 0.8407	Inference_time: 178.4273
Epoch 0 Global_step 9000	Train_loss: 0.4624	Trainlogloss: 0.4624	logloss: 0.4806	Eval_GAUC: 0.8464	Eval_AUC: 0.8516	Inference_time: 179.9293
Epoch 0 Global_step 10000	Train_loss: 0.4576	Trainlogloss: 0.4576	logloss: 0.4831	Eval_GAUC: 0.8453	Eval_AUC: 0.8517	Inference_time: 166.4011
Epoch 0 Global_step 11000	Train_loss: 0.4493	Trainlogloss: 0.4493	logloss: 0.4805	Eval_GAUC: 0.8416	Eval_AUC: 0.8485	Inference_time: 165.9877
