2022-04-29 14:48:33.075316: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-04-29 14:48:33.330918: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:84:00.0
totalMemory: 7.93GiB freeMemory: 7.82GiB
2022-04-29 14:48:33.330983: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:84:00.0, compute capability: 6.1)
hidden_units:128
numHist:0
item_emb(graph):False
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:3000
gcl_w:0.01
user_emb:True
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
loading adjcent table from adj folder
ready
128
logloss: 0.8419	 test_gauc: 0.5105	 test_auc: 0.5114
Epoch 0 Global_step 1000	Train_loss: 0.6565	Trainlogloss: 0.6565	logloss: 0.6255	Eval_GAUC: 0.6694	Eval_AUC: 0.6691	Inference_time: 20.1712
Epoch 0 Global_step 2000	Train_loss: 0.6187	Trainlogloss: 0.6187	logloss: 0.6135	Eval_GAUC: 0.6925	Eval_AUC: 0.6953	Inference_time: 21.3283
Epoch 0 Global_step 3000	Train_loss: 0.6055	Trainlogloss: 0.6055	logloss: 0.6061	Eval_GAUC: 0.7056	Eval_AUC: 0.7079	Inference_time: 21.6451
Epoch 0 Global_step 4000	Train_loss: 0.5990	Trainlogloss: 0.5990	logloss: 0.5971	Eval_GAUC: 0.7180	Eval_AUC: 0.7188	Inference_time: 21.6731
Epoch 0 Global_step 5000	Train_loss: 0.5869	Trainlogloss: 0.5869	logloss: 0.5905	Eval_GAUC: 0.7263	Eval_AUC: 0.7271	Inference_time: 20.6714
Epoch 0 Global_step 6000	Train_loss: 0.5823	Trainlogloss: 0.5823	logloss: 0.5852	Eval_GAUC: 0.7326	Eval_AUC: 0.7347	Inference_time: 22.9895
Epoch 0 Global_step 7000	Train_loss: 0.5733	Trainlogloss: 0.5733	logloss: 0.5839	Eval_GAUC: 0.7397	Eval_AUC: 0.7409	Inference_time: 22.2720
Epoch 0 Global_step 8000	Train_loss: 0.5717	Trainlogloss: 0.5717	logloss: 0.5751	Eval_GAUC: 0.7518	Eval_AUC: 0.7532	Inference_time: 21.2431
Epoch 0 Global_step 9000	Train_loss: 0.5613	Trainlogloss: 0.5613	logloss: 0.5642	Eval_GAUC: 0.7699	Eval_AUC: 0.7703	Inference_time: 23.1952
Epoch 0 Global_step 10000	Train_loss: 0.5532	Trainlogloss: 0.5532	logloss: 0.5555	Eval_GAUC: 0.7775	Eval_AUC: 0.7792	Inference_time: 23.4136
Epoch 0 Global_step 11000	Train_loss: 0.5442	Trainlogloss: 0.5442	logloss: 0.5499	Eval_GAUC: 0.7816	Eval_AUC: 0.7848	Inference_time: 24.5424
Epoch 0 Global_step 12000	Train_loss: 0.5383	Trainlogloss: 0.5383	logloss: 0.5452	Eval_GAUC: 0.7860	Eval_AUC: 0.7892	Inference_time: 23.9062
Epoch 0 Global_step 13000	Train_loss: 0.5371	Trainlogloss: 0.5371	logloss: 0.5402	Eval_GAUC: 0.7916	Eval_AUC: 0.7948	Inference_time: 24.1241
Epoch 0 Global_step 14000	Train_loss: 0.5323	Trainlogloss: 0.5323	logloss: 0.5369	Eval_GAUC: 0.7947	Eval_AUC: 0.7984	Inference_time: 24.9730
Epoch 0 Global_step 15000	Train_loss: 0.5303	Trainlogloss: 0.5303	logloss: 0.5319	Eval_GAUC: 0.8004	Eval_AUC: 0.8031	Inference_time: 23.6893
Epoch 0 Global_step 16000	Train_loss: 0.5238	Trainlogloss: 0.5238	logloss: 0.5292	Eval_GAUC: 0.8046	Eval_AUC: 0.8071	Inference_time: 25.1244
Epoch 0 Global_step 17000	Train_loss: 0.5207	Trainlogloss: 0.5207	logloss: 0.5286	Eval_GAUC: 0.8075	Eval_AUC: 0.8094	Inference_time: 24.8717
Epoch 0 Global_step 18000	Train_loss: 0.5130	Trainlogloss: 0.5130	logloss: 0.5255	Eval_GAUC: 0.8073	Eval_AUC: 0.8098	Inference_time: 15.6128
Epoch 0 Global_step 19000	Train_loss: 0.5098	Trainlogloss: 0.5098	logloss: 0.5238	Eval_GAUC: 0.8104	Eval_AUC: 0.8137	Inference_time: 24.6960
