2022-04-29 21:04:11.288839: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-04-29 21:04:11.564096: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:83:00.0
totalMemory: 7.93GiB freeMemory: 7.82GiB
2022-04-29 21:04:11.564153: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:83:00.0, compute capability: 6.1)
hidden_units:128
item_emb(graph):False
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:3000
gcl_w:1.0
user_emb:False
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
loading adjcent table from adj folder
ready
128
logloss: 0.8473	 test_gauc: 0.4783	 test_auc: 0.4926
Epoch 0 Global_step 1000	Train_loss: 0.6518	Trainlogloss: 0.6518	logloss: 0.6156	Eval_GAUC: 0.7184	Eval_AUC: 0.7208	Inference_time: 37.8924
Epoch 0 Global_step 2000	Train_loss: 0.6090	Trainlogloss: 0.6090	logloss: 0.5933	Eval_GAUC: 0.7363	Eval_AUC: 0.7454	Inference_time: 38.6303
Epoch 0 Global_step 3000	Train_loss: 0.5917	Trainlogloss: 0.5917	logloss: 0.5735	Eval_GAUC: 0.7545	Eval_AUC: 0.7658	Inference_time: 44.9791
Epoch 0 Global_step 4000	Train_loss: 0.5721	Trainlogloss: 0.5721	logloss: 0.5585	Eval_GAUC: 0.7670	Eval_AUC: 0.7805	Inference_time: 43.9618
Epoch 0 Global_step 5000	Train_loss: 0.5551	Trainlogloss: 0.5551	logloss: 0.5477	Eval_GAUC: 0.7758	Eval_AUC: 0.7915	Inference_time: 39.5055
Epoch 0 Global_step 6000	Train_loss: 0.5438	Trainlogloss: 0.5438	logloss: 0.5441	Eval_GAUC: 0.7797	Eval_AUC: 0.7950	Inference_time: 43.7494
Epoch 0 Global_step 7000	Train_loss: 0.5442	Trainlogloss: 0.5442	logloss: 0.5434	Eval_GAUC: 0.7841	Eval_AUC: 0.8001	Inference_time: 40.9799
Epoch 0 Global_step 8000	Train_loss: 0.5341	Trainlogloss: 0.5341	logloss: 0.5362	Eval_GAUC: 0.7875	Eval_AUC: 0.8036	Inference_time: 43.7518
Epoch 0 Global_step 9000	Train_loss: 0.5312	Trainlogloss: 0.5312	logloss: 0.5336	Eval_GAUC: 0.7911	Eval_AUC: 0.8067	Inference_time: 45.6284
Epoch 0 Global_step 10000	Train_loss: 0.5295	Trainlogloss: 0.5295	logloss: 0.5295	Eval_GAUC: 0.7942	Eval_AUC: 0.8125	Inference_time: 40.4706
Epoch 0 Global_step 11000	Train_loss: 0.5230	Trainlogloss: 0.5230	logloss: 0.5220	Eval_GAUC: 0.7969	Eval_AUC: 0.8162	Inference_time: 45.6611
Epoch 0 Global_step 12000	Train_loss: 0.5163	Trainlogloss: 0.5163	logloss: 0.5266	Eval_GAUC: 0.7949	Eval_AUC: 0.8136	Inference_time: 34.2867
Epoch 0 Global_step 13000	Train_loss: 0.5212	Trainlogloss: 0.5212	logloss: 0.5193	Eval_GAUC: 0.8000	Eval_AUC: 0.8191	Inference_time: 45.3009
Epoch 0 Global_step 14000	Train_loss: 0.5161	Trainlogloss: 0.5161	logloss: 0.5170	Eval_GAUC: 0.8024	Eval_AUC: 0.8214	Inference_time: 46.2500
Epoch 0 Global_step 15000	Train_loss: 0.5099	Trainlogloss: 0.5099	logloss: 0.5154	Eval_GAUC: 0.8049	Eval_AUC: 0.8236	Inference_time: 47.3642
Epoch 0 Global_step 16000	Train_loss: 0.5089	Trainlogloss: 0.5089	logloss: 0.5120	Eval_GAUC: 0.8061	Eval_AUC: 0.8255	Inference_time: 43.2101
Epoch 0 Global_step 17000	Train_loss: 0.5041	Trainlogloss: 0.5041	logloss: 0.5159	Eval_GAUC: 0.8073	Eval_AUC: 0.8252	Inference_time: 46.1196
Epoch 0 Global_step 18000	Train_loss: 0.5082	Trainlogloss: 0.5082	logloss: 0.5072	Eval_GAUC: 0.8095	Eval_AUC: 0.8287	Inference_time: 48.8102
Epoch 0 Global_step 19000	Train_loss: 0.5016	Trainlogloss: 0.5016	logloss: 0.5124	Eval_GAUC: 0.8090	Eval_AUC: 0.8285	Inference_time: 33.9931
Epoch 0 Global_step 20000	Train_loss: 0.4997	Trainlogloss: 0.4997	logloss: 0.5062	Eval_GAUC: 0.8124	Eval_AUC: 0.8310	Inference_time: 48.2163
Epoch 0 Global_step 21000	Train_loss: 0.5015	Trainlogloss: 0.5015	logloss: 0.5060	Eval_GAUC: 0.8120	Eval_AUC: 0.8306	Inference_time: 33.5238
Epoch 0 Global_step 22000	Train_loss: 0.4952	Trainlogloss: 0.4952	logloss: 0.5051	Eval_GAUC: 0.8132	Eval_AUC: 0.8331	Inference_time: 49.2940
