2022-04-30 22:13:43.845237: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-04-30 22:13:44.087736: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:84:00.0
totalMemory: 7.93GiB freeMemory: 7.82GiB
2022-04-30 22:13:44.087835: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:84:00.0, compute capability: 6.1)
hidden_units:128
item_emb(graph):False
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:3000
gcl_w:1.0
user_emb:True
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
loading adjcent table from adj folder
ready
128
logloss: 0.8414	 test_gauc: 0.4772	 test_auc: 0.4920
Epoch 0 Global_step 1000	Train_loss: 0.6512	Trainlogloss: 0.6512	logloss: 0.6156	Eval_GAUC: 0.7178	Eval_AUC: 0.7221	Inference_time: 37.2823
Epoch 0 Global_step 2000	Train_loss: 0.6090	Trainlogloss: 0.6090	logloss: 0.5939	Eval_GAUC: 0.7353	Eval_AUC: 0.7449	Inference_time: 38.7176
Epoch 0 Global_step 3000	Train_loss: 0.5917	Trainlogloss: 0.5917	logloss: 0.5742	Eval_GAUC: 0.7550	Eval_AUC: 0.7649	Inference_time: 42.1157
Epoch 0 Global_step 4000	Train_loss: 0.5720	Trainlogloss: 0.5720	logloss: 0.5577	Eval_GAUC: 0.7669	Eval_AUC: 0.7808	Inference_time: 41.9866
Epoch 0 Global_step 5000	Train_loss: 0.5558	Trainlogloss: 0.5558	logloss: 0.5478	Eval_GAUC: 0.7755	Eval_AUC: 0.7912	Inference_time: 40.7189
Epoch 0 Global_step 6000	Train_loss: 0.5447	Trainlogloss: 0.5447	logloss: 0.5447	Eval_GAUC: 0.7802	Eval_AUC: 0.7946	Inference_time: 44.5827
Epoch 0 Global_step 7000	Train_loss: 0.5453	Trainlogloss: 0.5453	logloss: 0.5435	Eval_GAUC: 0.7835	Eval_AUC: 0.7996	Inference_time: 38.1982
Epoch 0 Global_step 8000	Train_loss: 0.5352	Trainlogloss: 0.5352	logloss: 0.5366	Eval_GAUC: 0.7880	Eval_AUC: 0.8032	Inference_time: 41.5768
Epoch 0 Global_step 9000	Train_loss: 0.5323	Trainlogloss: 0.5323	logloss: 0.5342	Eval_GAUC: 0.7918	Eval_AUC: 0.8064	Inference_time: 43.5624
Epoch 0 Global_step 10000	Train_loss: 0.5304	Trainlogloss: 0.5304	logloss: 0.5312	Eval_GAUC: 0.7933	Eval_AUC: 0.8115	Inference_time: 41.4115
Epoch 0 Global_step 11000	Train_loss: 0.5251	Trainlogloss: 0.5251	logloss: 0.5226	Eval_GAUC: 0.7968	Eval_AUC: 0.8156	Inference_time: 45.3283
Epoch 0 Global_step 12000	Train_loss: 0.5178	Trainlogloss: 0.5178	logloss: 0.5247	Eval_GAUC: 0.7952	Eval_AUC: 0.8139	Inference_time: 33.2963
Epoch 0 Global_step 13000	Train_loss: 0.5230	Trainlogloss: 0.5230	logloss: 0.5207	Eval_GAUC: 0.7996	Eval_AUC: 0.8180	Inference_time: 45.2035
Epoch 0 Global_step 14000	Train_loss: 0.5166	Trainlogloss: 0.5166	logloss: 0.5162	Eval_GAUC: 0.8018	Eval_AUC: 0.8214	Inference_time: 43.8752
Epoch 0 Global_step 15000	Train_loss: 0.5100	Trainlogloss: 0.5100	logloss: 0.5149	Eval_GAUC: 0.8048	Eval_AUC: 0.8237	Inference_time: 43.8240
Epoch 0 Global_step 16000	Train_loss: 0.5104	Trainlogloss: 0.5104	logloss: 0.5123	Eval_GAUC: 0.8058	Eval_AUC: 0.8249	Inference_time: 44.5454
Epoch 0 Global_step 17000	Train_loss: 0.5049	Trainlogloss: 0.5049	logloss: 0.5138	Eval_GAUC: 0.8063	Eval_AUC: 0.8252	Inference_time: 43.9005
Epoch 0 Global_step 18000	Train_loss: 0.5096	Trainlogloss: 0.5096	logloss: 0.5078	Eval_GAUC: 0.8085	Eval_AUC: 0.8282	Inference_time: 40.8756
Epoch 0 Global_step 19000	Train_loss: 0.5032	Trainlogloss: 0.5032	logloss: 0.5113	Eval_GAUC: 0.8097	Eval_AUC: 0.8291	Inference_time: 48.7582
Epoch 0 Global_step 20000	Train_loss: 0.5012	Trainlogloss: 0.5012	logloss: 0.5053	Eval_GAUC: 0.8124	Eval_AUC: 0.8307	Inference_time: 42.4506
Epoch 0 Global_step 21000	Train_loss: 0.5026	Trainlogloss: 0.5026	logloss: 0.5063	Eval_GAUC: 0.8123	Eval_AUC: 0.8308	Inference_time: 36.5707
Epoch 0 Global_step 22000	Train_loss: 0.4970	Trainlogloss: 0.4970	logloss: 0.5035	Eval_GAUC: 0.8140	Eval_AUC: 0.8326	Inference_time: 45.4897
Epoch 0 Global_step 23000	Train_loss: 0.4931	Trainlogloss: 0.4931	logloss: 0.5058	Eval_GAUC: 0.8149	Eval_AUC: 0.8335	Inference_time: 41.7548
Epoch 0 Global_step 24000	Train_loss: 0.4942	Trainlogloss: 0.4942	logloss: 0.5054	Eval_GAUC: 0.8157	Eval_AUC: 0.8337	Inference_time: 50.3273
Epoch 0 Global_step 25000	Train_loss: 0.4924	Trainlogloss: 0.4924	logloss: 0.5022	Eval_GAUC: 0.8175	Eval_AUC: 0.8354	Inference_time: 46.8727
Epoch 0 Global_step 26000	Train_loss: 0.4915	Trainlogloss: 0.4915	logloss: 0.4993	Eval_GAUC: 0.8172	Eval_AUC: 0.8355	Inference_time: 33.1652
Epoch 0 Global_step 27000	Train_loss: 0.4934	Trainlogloss: 0.4934	logloss: 0.5014	Eval_GAUC: 0.8182	Eval_AUC: 0.8355	Inference_time: 47.6780
Epoch 0 Global_step 28000	Train_loss: 0.4886	Trainlogloss: 0.4886	logloss: 0.4987	Eval_GAUC: 0.8180	Eval_AUC: 0.8358	Inference_time: 32.8671
Epoch 0 Global_step 29000	Train_loss: 0.4888	Trainlogloss: 0.4888	logloss: 0.4974	Eval_GAUC: 0.8199	Eval_AUC: 0.8380	Inference_time: 47.9663
Epoch 0 Global_step 30000	Train_loss: 0.4903	Trainlogloss: 0.4903	logloss: 0.4943	Eval_GAUC: 0.8218	Eval_AUC: 0.8387	Inference_time: 47.3598
