2022-04-29 20:59:59.932738: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-04-29 21:00:00.289313: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:02:00.0
totalMemory: 7.93GiB freeMemory: 5.61GiB
2022-04-29 21:00:00.331343: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:02:00.0, compute capability: 6.1)
hidden_units:128
numHot:40
pruning:0
item_emb(graph):False
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:1000
gcl_w:2.0
user_emb:False
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
cnt-> 10000   time per interval:  83.18355393409729
cnt-> 20000   time per interval:  80.65757966041565
cnt-> 30000   time per interval:  78.27857565879822
cnt-> 40000   time per interval:  75.6454451084137
cnt-> 50000   time per interval:  76.77182936668396
cnt-> 60000   time per interval:  79.13256692886353
cnt-> 70000   time per interval:  77.76472592353821
cnt-> 80000   time per interval:  79.53897309303284
cnt-> 90000   time per interval:  77.07700991630554
cnt-> 100000   time per interval:  77.36497402191162
cnt-> 110000   time per interval:  76.69914436340332
cnt-> 120000   time per interval:  81.8646514415741
cnt-> 130000   time per interval:  79.23890233039856
cnt1-> 10000   time per interval:  161.88374495506287
18908
user_len_ls
[6024. 3495. 1696. 1062.  786.  594.  478.  425.  364.  302.  282.  217.
  232.  208.  178.  162.  173.  159.  138.  137.  114.  121.  129.  111.
  106.   93.   97.  114.   79.   79.   81.   73.   67.   66.   71.   68.
   65.   78.   78.   58.   48.]
ready
128
logloss: 0.8432	 test_gauc: 0.5352	 test_auc: 0.5297
Epoch 0 Global_step 1000	Train_loss: 0.6707	logloss: 0.6909	Eval_GAUC: 0.6296	Eval_AUC: 0.6275
Epoch 0 Global_step 2000	Train_loss: 0.6555	logloss: 0.6538	Eval_GAUC: 0.6416	Eval_AUC: 0.6499
Epoch 0 Global_step 3000	Train_loss: 0.6460	logloss: 0.6548	Eval_GAUC: 0.6439	Eval_AUC: 0.6521
Epoch 0 Global_step 4000	Train_loss: 0.6359	logloss: 0.6500	Eval_GAUC: 0.6484	Eval_AUC: 0.6562
Epoch 0 Global_step 5000	Train_loss: 0.6279	logloss: 0.6498	Eval_GAUC: 0.6514	Eval_AUC: 0.6580
Epoch 0 Global_step 6000	Train_loss: 0.6261	logloss: 0.6538	Eval_GAUC: 0.6545	Eval_AUC: 0.6588
Epoch 0 Global_step 7000	Train_loss: 0.6270	logloss: 0.6486	Eval_GAUC: 0.6548	Eval_AUC: 0.6643
Epoch 0 Global_step 8000	Train_loss: 0.6285	logloss: 0.6601	Eval_GAUC: 0.6567	Eval_AUC: 0.6561
Epoch 0 Global_step 9000	Train_loss: 0.6225	logloss: 0.6495	Eval_GAUC: 0.6563	Eval_AUC: 0.6658
Epoch 0 Global_step 10000	Train_loss: 0.6167	logloss: 0.6466	Eval_GAUC: 0.6608	Eval_AUC: 0.6688
Epoch 0 Global_step 11000	Train_loss: 0.6221	logloss: 0.6421	Eval_GAUC: 0.6664	Eval_AUC: 0.6706
Epoch 0 Global_step 12000	Train_loss: 0.6194	logloss: 0.6410	Eval_GAUC: 0.6652	Eval_AUC: 0.6742
Epoch 0 Global_step 13000	Train_loss: 0.6174	logloss: 0.6390	Eval_GAUC: 0.6675	Eval_AUC: 0.6759
Epoch 0 Global_step 14000	Train_loss: 0.6129	logloss: 0.6396	Eval_GAUC: 0.6692	Eval_AUC: 0.6772
Epoch 0 Global_step 15000	Train_loss: 0.6129	logloss: 0.6395	Eval_GAUC: 0.6730	Eval_AUC: 0.6782
Epoch 0 Global_step 16000	Train_loss: 0.6112	logloss: 0.6380	Eval_GAUC: 0.6709	Eval_AUC: 0.6796
Epoch 0 Global_step 17000	Train_loss: 0.6138	logloss: 0.6391	Eval_GAUC: 0.6728	Eval_AUC: 0.6786
Epoch 0 Global_step 18000	Train_loss: 0.6087	logloss: 0.6448	Eval_GAUC: 0.6715	Eval_AUC: 0.6718
Epoch 0 Global_step 19000	Train_loss: 0.6122	logloss: 0.6382	Eval_GAUC: 0.6734	Eval_AUC: 0.6788
Epoch 0 Global_step 20000	Train_loss: 0.6110	logloss: 0.6367	Eval_GAUC: 0.6765	Eval_AUC: 0.6826
Epoch 0 Global_step 21000	Train_loss: 0.6094	logloss: 0.6398	Eval_GAUC: 0.6754	Eval_AUC: 0.6807
Epoch 0 Global_step 22000	Train_loss: 0.6089	logloss: 0.6400	Eval_GAUC: 0.6748	Eval_AUC: 0.6801
Epoch 0 Global_step 23000	Train_loss: 0.6055	logloss: 0.6371	Eval_GAUC: 0.6764	Eval_AUC: 0.6823
Epoch 0 Global_step 24000	Train_loss: 0.6040	logloss: 0.6376	Eval_GAUC: 0.6785	Eval_AUC: 0.6841
Epoch 0 Global_step 25000	Train_loss: 0.6075	logloss: 0.6344	Eval_GAUC: 0.6785	Eval_AUC: 0.6861
Epoch 0 Global_step 26000	Train_loss: 0.6076	logloss: 0.6345	Eval_GAUC: 0.6800	Eval_AUC: 0.6858
Epoch 0 Global_step 27000	Train_loss: 0.6074	logloss: 0.6339	Eval_GAUC: 0.6846	Eval_AUC: 0.6881
Epoch 0 Global_step 28000	Train_loss: 0.6010	logloss: 0.6343	Eval_GAUC: 0.6845	Eval_AUC: 0.6875
