2022-04-29 21:10:53.139107: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-04-29 21:10:53.434624: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:02:00.0
totalMemory: 7.93GiB freeMemory: 3.75GiB
2022-04-29 21:10:53.434697: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:02:00.0, compute capability: 6.1)
hidden_units:128
numHot:40
pruning:0
item_emb(graph):True
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:1000
gcl_w:2.0
user_emb:False
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
loading item table from adj folder
loading user table from adj folder
ready
128
logloss: 0.7316	 test_gauc: 0.4801	 test_auc: 0.4827
Epoch 0 Global_step 1000	Train_loss: 0.6454	logloss: 0.6588	Eval_GAUC: 0.6585	Eval_AUC: 0.6669
Epoch 0 Global_step 2000	Train_loss: 0.6286	logloss: 0.6443	Eval_GAUC: 0.6620	Eval_AUC: 0.6664
Epoch 0 Global_step 3000	Train_loss: 0.6218	logloss: 0.6426	Eval_GAUC: 0.6606	Eval_AUC: 0.6717
Epoch 0 Global_step 4000	Train_loss: 0.6183	logloss: 0.6325	Eval_GAUC: 0.6728	Eval_AUC: 0.6835
Epoch 0 Global_step 5000	Train_loss: 0.6103	logloss: 0.6347	Eval_GAUC: 0.6751	Eval_AUC: 0.6830
Epoch 0 Global_step 6000	Train_loss: 0.6077	logloss: 0.6387	Eval_GAUC: 0.6801	Eval_AUC: 0.6840
Epoch 0 Global_step 7000	Train_loss: 0.6097	logloss: 0.6355	Eval_GAUC: 0.6838	Eval_AUC: 0.6895
Epoch 0 Global_step 8000	Train_loss: 0.6066	logloss: 0.6361	Eval_GAUC: 0.6773	Eval_AUC: 0.6788
Epoch 0 Global_step 9000	Train_loss: 0.6052	logloss: 0.6353	Eval_GAUC: 0.6810	Eval_AUC: 0.6846
Epoch 0 Global_step 10000	Train_loss: 0.6004	logloss: 0.6285	Eval_GAUC: 0.6859	Eval_AUC: 0.6930
Epoch 0 Global_step 11000	Train_loss: 0.6058	logloss: 0.6237	Eval_GAUC: 0.6924	Eval_AUC: 0.6996
Epoch 0 Global_step 12000	Train_loss: 0.6008	logloss: 0.6299	Eval_GAUC: 0.6850	Eval_AUC: 0.6903
Epoch 0 Global_step 13000	Train_loss: 0.5989	logloss: 0.6243	Eval_GAUC: 0.6885	Eval_AUC: 0.6959
Epoch 0 Global_step 14000	Train_loss: 0.5969	logloss: 0.6302	Eval_GAUC: 0.6885	Eval_AUC: 0.6937
Epoch 0 Global_step 15000	Train_loss: 0.5980	logloss: 0.6218	Eval_GAUC: 0.6955	Eval_AUC: 0.7020
Epoch 0 Global_step 16000	Train_loss: 0.5958	logloss: 0.6246	Eval_GAUC: 0.6898	Eval_AUC: 0.6975
Epoch 0 Global_step 17000	Train_loss: 0.5983	logloss: 0.6249	Eval_GAUC: 0.6930	Eval_AUC: 0.6970
Epoch 0 Global_step 18000	Train_loss: 0.5944	logloss: 0.6241	Eval_GAUC: 0.6958	Eval_AUC: 0.7004
Epoch 0 Global_step 19000	Train_loss: 0.5969	logloss: 0.6275	Eval_GAUC: 0.6905	Eval_AUC: 0.6911
Epoch 0 Global_step 20000	Train_loss: 0.5955	logloss: 0.6237	Eval_GAUC: 0.6954	Eval_AUC: 0.6987
Epoch 0 Global_step 21000	Train_loss: 0.5964	logloss: 0.6276	Eval_GAUC: 0.6924	Eval_AUC: 0.6979
Epoch 0 Global_step 22000	Train_loss: 0.5949	logloss: 0.6250	Eval_GAUC: 0.6927	Eval_AUC: 0.6978
Epoch 0 Global_step 23000	Train_loss: 0.6009	logloss: 0.6204	Eval_GAUC: 0.6971	Eval_AUC: 0.7041
Epoch 0 Global_step 24000	Train_loss: 0.5940	logloss: 0.6294	Eval_GAUC: 0.6915	Eval_AUC: 0.6945
Epoch 0 Global_step 25000	Train_loss: 0.5948	logloss: 0.6211	Eval_GAUC: 0.6976	Eval_AUC: 0.7024
Epoch 0 Global_step 26000	Train_loss: 0.5962	logloss: 0.6232	Eval_GAUC: 0.6967	Eval_AUC: 0.7011
Epoch 0 Global_step 27000	Train_loss: 0.5960	logloss: 0.6201	Eval_GAUC: 0.7023	Eval_AUC: 0.7058
Epoch 0 Global_step 28000	Train_loss: 0.5898	logloss: 0.6174	Eval_GAUC: 0.7064	Eval_AUC: 0.7101
Epoch 0 Global_step 29000	Train_loss: 0.5928	logloss: 0.6223	Eval_GAUC: 0.6990	Eval_AUC: 0.7036
Epoch 0 Global_step 30000	Train_loss: 0.5868	logloss: 0.6248	Eval_GAUC: 0.6987	Eval_AUC: 0.7017
Epoch 0 Global_step 31000	Train_loss: 0.5882	logloss: 0.6220	Eval_GAUC: 0.6987	Eval_AUC: 0.7028
Epoch 0 Global_step 32000	Train_loss: 0.5893	logloss: 0.6243	Eval_GAUC: 0.6995	Eval_AUC: 0.7011
Epoch 0 Global_step 33000	Train_loss: 0.5911	logloss: 0.6181	Eval_GAUC: 0.7039	Eval_AUC: 0.7069
Epoch 0 Global_step 34000	Train_loss: 0.5865	logloss: 0.6234	Eval_GAUC: 0.7013	Eval_AUC: 0.7032
Epoch 0 Global_step 35000	Train_loss: 0.5873	logloss: 0.6233	Eval_GAUC: 0.7036	Eval_AUC: 0.7057
Epoch 0 Global_step 36000	Train_loss: 0.5843	logloss: 0.6273	Eval_GAUC: 0.6963	Eval_AUC: 0.7003
Epoch 0 Global_step 37000	Train_loss: 0.5862	logloss: 0.6211	Eval_GAUC: 0.7020	Eval_AUC: 0.7059
Epoch 0 Global_step 38000	Train_loss: 0.5853	logloss: 0.6238	Eval_GAUC: 0.7071	Eval_AUC: 0.7111
Epoch 0 Global_step 39000	Train_loss: 0.5856	logloss: 0.6253	Eval_GAUC: 0.6994	Eval_AUC: 0.7016
Epoch 0 Global_step 40000	Train_loss: 0.5843	logloss: 0.6224	Eval_GAUC: 0.7029	Eval_AUC: 0.7060
Epoch 0 Global_step 41000	Train_loss: 0.5874	logloss: 0.6172	Eval_GAUC: 0.7062	Eval_AUC: 0.7095
Epoch 0 Global_step 42000	Train_loss: 0.5853	logloss: 0.6185	Eval_GAUC: 0.7074	Eval_AUC: 0.7098
Epoch 0 Global_step 43000	Train_loss: 0.5835	logloss: 0.6236	Eval_GAUC: 0.7011	Eval_AUC: 0.7058
Epoch 0 Global_step 44000	Train_loss: 0.5837	logloss: 0.6213	Eval_GAUC: 0.7065	Eval_AUC: 0.7083
Epoch 0 Global_step 45000	Train_loss: 0.5814	logloss: 0.6212	Eval_GAUC: 0.7037	Eval_AUC: 0.7071
Epoch 0 Global_step 46000	Train_loss: 0.5830	logloss: 0.6239	Eval_GAUC: 0.7017	Eval_AUC: 0.7040
Epoch 0 Global_step 47000	Train_loss: 0.5818	logloss: 0.6191	Eval_GAUC: 0.7059	Eval_AUC: 0.7069
Epoch 0 Global_step 48000	Train_loss: 0.5829	logloss: 0.6182	Eval_GAUC: 0.7099	Eval_AUC: 0.7103
Epoch 0 Global_step 49000	Train_loss: 0.5836	logloss: 0.6145	Eval_GAUC: 0.7125	Eval_AUC: 0.7133
Epoch 0 Global_step 50000	Train_loss: 0.5866	logloss: 0.6172	Eval_GAUC: 0.7143	Eval_AUC: 0.7125
Epoch 0 Global_step 51000	Train_loss: 0.5827	logloss: 0.6166	Eval_GAUC: 0.7108	Eval_AUC: 0.7137
Epoch 0 Global_step 52000	Train_loss: 0.5812	logloss: 0.6225	Eval_GAUC: 0.7057	Eval_AUC: 0.7080
Epoch 0 Global_step 53000	Train_loss: 0.5810	logloss: 0.6170	Eval_GAUC: 0.7070	Eval_AUC: 0.7101
Epoch 0 Global_step 54000	Train_loss: 0.5848	logloss: 0.6210	Eval_GAUC: 0.7107	Eval_AUC: 0.7095
Epoch 0 Global_step 55000	Train_loss: 0.5790	logloss: 0.6134	Eval_GAUC: 0.7124	Eval_AUC: 0.7161
Epoch 0 Global_step 56000	Train_loss: 0.5766	logloss: 0.6241	Eval_GAUC: 0.7015	Eval_AUC: 0.7037
Epoch 0 Global_step 57000	Train_loss: 0.5777	logloss: 0.6189	Eval_GAUC: 0.7072	Eval_AUC: 0.7084
Epoch 0 Global_step 58000	Train_loss: 0.5826	logloss: 0.6188	Eval_GAUC: 0.7069	Eval_AUC: 0.7085
Epoch 0 Global_step 59000	Train_loss: 0.5800	logloss: 0.6161	Eval_GAUC: 0.7142	Eval_AUC: 0.7132
Epoch 0 Global_step 60000	Train_loss: 0.5735	logloss: 0.6142	Eval_GAUC: 0.7139	Eval_AUC: 0.7151
Epoch 0 Global_step 61000	Train_loss: 0.5795	logloss: 0.6137	Eval_GAUC: 0.7153	Eval_AUC: 0.7163
Epoch 0 Global_step 62000	Train_loss: 0.5802	logloss: 0.6197	Eval_GAUC: 0.7076	Eval_AUC: 0.7089
Epoch 0 Global_step 63000	Train_loss: 0.5785	logloss: 0.6146	Eval_GAUC: 0.7131	Eval_AUC: 0.7156
Epoch 0 Global_step 64000	Train_loss: 0.5772	logloss: 0.6146	Eval_GAUC: 0.7120	Eval_AUC: 0.7145
Epoch 0 Global_step 65000	Train_loss: 0.5788	logloss: 0.6146	Eval_GAUC: 0.7110	Eval_AUC: 0.7144
Epoch 0 Global_step 66000	Train_loss: 0.5768	logloss: 0.6188	Eval_GAUC: 0.7109	Eval_AUC: 0.7104
Epoch 0 Global_step 67000	Train_loss: 0.5773	logloss: 0.6127	Eval_GAUC: 0.7160	Eval_AUC: 0.7178
Epoch 0 Global_step 68000	Train_loss: 0.5771	logloss: 0.6133	Eval_GAUC: 0.7136	Eval_AUC: 0.7157
Epoch 0 Global_step 69000	Train_loss: 0.5765	logloss: 0.6156	Eval_GAUC: 0.7125	Eval_AUC: 0.7133
Epoch 0 Global_step 70000	Train_loss: 0.5790	logloss: 0.6113	Eval_GAUC: 0.7152	Eval_AUC: 0.7188
Epoch 0 Global_step 71000	Train_loss: 0.5762	logloss: 0.6175	Eval_GAUC: 0.7102	Eval_AUC: 0.7125
Epoch 0 Global_step 72000	Train_loss: 0.5758	logloss: 0.6177	Eval_GAUC: 0.7096	Eval_AUC: 0.7117
Epoch 0 Global_step 73000	Train_loss: 0.5764	logloss: 0.6142	Eval_GAUC: 0.7121	Eval_AUC: 0.7155
Epoch 0 Global_step 74000	Train_loss: 0.5754	logloss: 0.6116	Eval_GAUC: 0.7169	Eval_AUC: 0.7184
Epoch 0 Global_step 75000	Train_loss: 0.5760	logloss: 0.6178	Eval_GAUC: 0.7090	Eval_AUC: 0.7120
Epoch 0 Global_step 76000	Train_loss: 0.5762	logloss: 0.6157	Eval_GAUC: 0.7109	Eval_AUC: 0.7120
Epoch 0 Global_step 77000	Train_loss: 0.5708	logloss: 0.6168	Eval_GAUC: 0.7135	Eval_AUC: 0.7142
Epoch 0 Global_step 78000	Train_loss: 0.5753	logloss: 0.6139	Eval_GAUC: 0.7143	Eval_AUC: 0.7161
Epoch 0 Global_step 79000	Train_loss: 0.5712	logloss: 0.6145	Eval_GAUC: 0.7146	Eval_AUC: 0.7185
Epoch 0 Global_step 80000	Train_loss: 0.5741	logloss: 0.6115	Eval_GAUC: 0.7171	Eval_AUC: 0.7198
Epoch 0 DONE	Cost time: 29367.73
Epoch 1 Global_step 81000	Train_loss: 0.5363	logloss: 0.6213	Eval_GAUC: 0.7114	Eval_AUC: 0.7113
Epoch 1 Global_step 82000	Train_loss: 0.5728	logloss: 0.6113	Eval_GAUC: 0.7202	Eval_AUC: 0.7219
Epoch 1 Global_step 83000	Train_loss: 0.5699	logloss: 0.6138	Eval_GAUC: 0.7144	Eval_AUC: 0.7170
Epoch 1 Global_step 84000	Train_loss: 0.5720	logloss: 0.6127	Eval_GAUC: 0.7159	Eval_AUC: 0.7193
Epoch 1 Global_step 85000	Train_loss: 0.5671	logloss: 0.6145	Eval_GAUC: 0.7166	Eval_AUC: 0.7182
Epoch 1 Global_step 86000	Train_loss: 0.5688	logloss: 0.6127	Eval_GAUC: 0.7161	Eval_AUC: 0.7191
Epoch 1 Global_step 87000	Train_loss: 0.5717	logloss: 0.6133	Eval_GAUC: 0.7171	Eval_AUC: 0.7184
Epoch 1 Global_step 88000	Train_loss: 0.5704	logloss: 0.6111	Eval_GAUC: 0.7200	Eval_AUC: 0.7214
Epoch 1 Global_step 89000	Train_loss: 0.5698	logloss: 0.6190	Eval_GAUC: 0.7115	Eval_AUC: 0.7114
Epoch 1 Global_step 90000	Train_loss: 0.5655	logloss: 0.6172	Eval_GAUC: 0.7115	Eval_AUC: 0.7126
Epoch 1 Global_step 91000	Train_loss: 0.5711	logloss: 0.6164	Eval_GAUC: 0.7136	Eval_AUC: 0.7141
Epoch 1 Global_step 92000	Train_loss: 0.5686	logloss: 0.6128	Eval_GAUC: 0.7179	Eval_AUC: 0.7190
Epoch 1 Global_step 93000	Train_loss: 0.5663	logloss: 0.6125	Eval_GAUC: 0.7147	Eval_AUC: 0.7189
Epoch 1 Global_step 94000	Train_loss: 0.5638	logloss: 0.6138	Eval_GAUC: 0.7182	Eval_AUC: 0.7208
Epoch 1 Global_step 95000	Train_loss: 0.5665	logloss: 0.6140	Eval_GAUC: 0.7191	Eval_AUC: 0.7201
Epoch 1 Global_step 96000	Train_loss: 0.5658	logloss: 0.6142	Eval_GAUC: 0.7139	Eval_AUC: 0.7162
Epoch 1 Global_step 97000	Train_loss: 0.5670	logloss: 0.6129	Eval_GAUC: 0.7163	Eval_AUC: 0.7180
Epoch 1 Global_step 98000	Train_loss: 0.5631	logloss: 0.6165	Eval_GAUC: 0.7099	Eval_AUC: 0.7119
Epoch 1 Global_step 99000	Train_loss: 0.5696	logloss: 0.6149	Eval_GAUC: 0.7150	Eval_AUC: 0.7167
Epoch 1 Global_step 100000	Train_loss: 0.5667	logloss: 0.6168	Eval_GAUC: 0.7121	Eval_AUC: 0.7154
Epoch 1 Global_step 101000	Train_loss: 0.5653	logloss: 0.6163	Eval_GAUC: 0.7116	Eval_AUC: 0.7142
Epoch 1 Global_step 102000	Train_loss: 0.5671	logloss: 0.6157	Eval_GAUC: 0.7162	Eval_AUC: 0.7171
