2022-05-01 19:50:59.729811: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-05-01 19:51:00.034276: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:02:00.0
totalMemory: 7.93GiB freeMemory: 3.71GiB
2022-05-01 19:51:00.034337: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:02:00.0, compute capability: 6.1)
hidden_units:128
item_emb(graph):False
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:3000
gcl_w:1.0
user_emb:False
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
cnt-> 10000   time per interval:  4.02183985710144
cnt-> 20000   time per interval:  3.732435941696167
cnt-> 30000   time per interval:  3.674905776977539
cnt-> 40000   time per interval:  3.38934326171875
cnt-> 50000   time per interval:  5.910280227661133
cnt-> 60000   time per interval:  3.582963228225708
cnt-> 70000   time per interval:  3.3856256008148193
cnt-> 80000   time per interval:  3.400360107421875
cnt-> 90000   time per interval:  3.3551712036132812
cnt-> 100000   time per interval:  3.3581063747406006
cnt-> 110000   time per interval:  3.3140368461608887
cnt-> 120000   time per interval:  6.069546699523926
cnt1-> 10000   time per interval:  21.60646963119507
cnt1-> 20000   time per interval:  14.209023237228394
cnt1-> 30000   time per interval:  14.547887325286865
cnt1-> 40000   time per interval:  14.147644281387329
ready
128
logloss: 0.7036	 test_gauc: 0.4743	 test_auc: 0.4671
Epoch 0 Global_step 1000	Train_loss: 0.6521	Trainlogloss: 0.6521	logloss: 0.6225	Eval_GAUC: 0.7124	Eval_AUC: 0.7112	Inference_time: 12.1205
Epoch 0 Global_step 2000	Train_loss: 0.6051	Trainlogloss: 0.6051	logloss: 0.5840	Eval_GAUC: 0.7448	Eval_AUC: 0.7528	Inference_time: 12.3502
Epoch 0 Global_step 3000	Train_loss: 0.5812	Trainlogloss: 0.5812	logloss: 0.5651	Eval_GAUC: 0.7609	Eval_AUC: 0.7722	Inference_time: 16.6911
Epoch 0 Global_step 4000	Train_loss: 0.5676	Trainlogloss: 0.5676	logloss: 0.5562	Eval_GAUC: 0.7684	Eval_AUC: 0.7823	Inference_time: 12.4722
Epoch 0 Global_step 5000	Train_loss: 0.5532	Trainlogloss: 0.5532	logloss: 0.5477	Eval_GAUC: 0.7754	Eval_AUC: 0.7911	Inference_time: 17.0164
Epoch 0 Global_step 6000	Train_loss: 0.5439	Trainlogloss: 0.5439	logloss: 0.5439	Eval_GAUC: 0.7795	Eval_AUC: 0.7951	Inference_time: 13.8802
Epoch 0 Global_step 7000	Train_loss: 0.5436	Trainlogloss: 0.5436	logloss: 0.5442	Eval_GAUC: 0.7832	Eval_AUC: 0.7992	Inference_time: 16.6329
Epoch 0 Global_step 8000	Train_loss: 0.5343	Trainlogloss: 0.5343	logloss: 0.5350	Eval_GAUC: 0.7886	Eval_AUC: 0.8044	Inference_time: 12.3103
Epoch 0 Global_step 9000	Train_loss: 0.5319	Trainlogloss: 0.5319	logloss: 0.5326	Eval_GAUC: 0.7914	Eval_AUC: 0.8065	Inference_time: 17.5415
Epoch 0 Global_step 10000	Train_loss: 0.5306	Trainlogloss: 0.5306	logloss: 0.5281	Eval_GAUC: 0.7936	Eval_AUC: 0.8123	Inference_time: 13.2849
Epoch 0 Global_step 11000	Train_loss: 0.5253	Trainlogloss: 0.5253	logloss: 0.5239	Eval_GAUC: 0.7952	Eval_AUC: 0.8146	Inference_time: 17.2948
