2022-04-30 22:28:56.373982: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-04-30 22:28:56.682042: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:84:00.0
totalMemory: 7.93GiB freeMemory: 3.65GiB
2022-04-30 22:28:56.682109: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:84:00.0, compute capability: 6.1)
hidden_units:128
numHist:0
item_emb(graph):False
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:3000
gcl_w:0.01
user_emb:False
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
loading adjcent table from adj folder
ready
128
logloss: 0.7035	 test_gauc: 0.5050	 test_auc: 0.5051
Epoch 0 Global_step 1000	Train_loss: 0.6575	Trainlogloss: 0.6575	logloss: 0.6281	Eval_GAUC: 0.6668	Eval_AUC: 0.6666	Inference_time: 9.6951
Epoch 0 Global_step 2000	Train_loss: 0.6204	Trainlogloss: 0.6204	logloss: 0.6130	Eval_GAUC: 0.6924	Eval_AUC: 0.6950	Inference_time: 9.9708
Epoch 0 Global_step 3000	Train_loss: 0.6040	Trainlogloss: 0.6040	logloss: 0.6062	Eval_GAUC: 0.7059	Eval_AUC: 0.7081	Inference_time: 12.1081
Epoch 0 Global_step 4000	Train_loss: 0.5986	Trainlogloss: 0.5986	logloss: 0.5961	Eval_GAUC: 0.7188	Eval_AUC: 0.7196	Inference_time: 12.0813
Epoch 0 Global_step 5000	Train_loss: 0.5854	Trainlogloss: 0.5854	logloss: 0.5889	Eval_GAUC: 0.7273	Eval_AUC: 0.7286	Inference_time: 13.0853
Epoch 0 Global_step 6000	Train_loss: 0.5818	Trainlogloss: 0.5818	logloss: 0.5832	Eval_GAUC: 0.7345	Eval_AUC: 0.7363	Inference_time: 12.6597
Epoch 0 Global_step 7000	Train_loss: 0.5712	Trainlogloss: 0.5712	logloss: 0.5801	Eval_GAUC: 0.7410	Eval_AUC: 0.7425	Inference_time: 11.2512
Epoch 0 Global_step 8000	Train_loss: 0.5712	Trainlogloss: 0.5712	logloss: 0.5758	Eval_GAUC: 0.7492	Eval_AUC: 0.7509	Inference_time: 16.4320
Epoch 0 Global_step 9000	Train_loss: 0.5646	Trainlogloss: 0.5646	logloss: 0.5712	Eval_GAUC: 0.7595	Eval_AUC: 0.7608	Inference_time: 15.7951
Epoch 0 Global_step 10000	Train_loss: 0.5592	Trainlogloss: 0.5592	logloss: 0.5633	Eval_GAUC: 0.7685	Eval_AUC: 0.7700	Inference_time: 15.6948
Epoch 0 Global_step 11000	Train_loss: 0.5507	Trainlogloss: 0.5507	logloss: 0.5544	Eval_GAUC: 0.7767	Eval_AUC: 0.7794	Inference_time: 16.8170
Epoch 0 Global_step 12000	Train_loss: 0.5446	Trainlogloss: 0.5446	logloss: 0.5524	Eval_GAUC: 0.7780	Eval_AUC: 0.7814	Inference_time: 16.3956
Epoch 0 Global_step 13000	Train_loss: 0.5425	Trainlogloss: 0.5425	logloss: 0.5476	Eval_GAUC: 0.7830	Eval_AUC: 0.7859	Inference_time: 12.7508
Epoch 0 Global_step 14000	Train_loss: 0.5406	Trainlogloss: 0.5406	logloss: 0.5466	Eval_GAUC: 0.7834	Eval_AUC: 0.7876	Inference_time: 14.7587
Epoch 0 Global_step 15000	Train_loss: 0.5396	Trainlogloss: 0.5396	logloss: 0.5447	Eval_GAUC: 0.7853	Eval_AUC: 0.7895	Inference_time: 14.8329
Epoch 0 Global_step 16000	Train_loss: 0.5341	Trainlogloss: 0.5341	logloss: 0.5414	Eval_GAUC: 0.7892	Eval_AUC: 0.7929	Inference_time: 14.2540
Epoch 0 Global_step 17000	Train_loss: 0.5368	Trainlogloss: 0.5368	logloss: 0.5453	Eval_GAUC: 0.7880	Eval_AUC: 0.7926	Inference_time: 7.7410
Epoch 0 Global_step 18000	Train_loss: 0.5283	Trainlogloss: 0.5283	logloss: 0.5389	Eval_GAUC: 0.7911	Eval_AUC: 0.7956	Inference_time: 15.1725
