2022-05-01 19:58:58.015554: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-05-01 19:58:58.278275: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:84:00.0
totalMemory: 7.93GiB freeMemory: 7.82GiB
2022-05-01 19:58:58.278338: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:84:00.0, compute capability: 6.1)
hidden_units:128
numHist:0
item_emb(graph):False
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:3000
gcl_w:0.01
user_emb:True
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
loading adjcent table from adj folder
ready
128
logloss: 0.7035	 test_gauc: 0.5050	 test_auc: 0.5051
Epoch 0 Global_step 1000	Train_loss: 0.6574	Trainlogloss: 0.6574	logloss: 0.6280	Eval_GAUC: 0.6666	Eval_AUC: 0.6664	Inference_time: 8.7709
Epoch 0 Global_step 2000	Train_loss: 0.6208	Trainlogloss: 0.6208	logloss: 0.6136	Eval_GAUC: 0.6917	Eval_AUC: 0.6944	Inference_time: 9.4071
Epoch 0 Global_step 3000	Train_loss: 0.6046	Trainlogloss: 0.6046	logloss: 0.6068	Eval_GAUC: 0.7057	Eval_AUC: 0.7078	Inference_time: 7.4828
Epoch 0 Global_step 4000	Train_loss: 0.5990	Trainlogloss: 0.5990	logloss: 0.5961	Eval_GAUC: 0.7189	Eval_AUC: 0.7197	Inference_time: 9.4864
Epoch 0 Global_step 5000	Train_loss: 0.5852	Trainlogloss: 0.5852	logloss: 0.5884	Eval_GAUC: 0.7277	Eval_AUC: 0.7290	Inference_time: 7.6965
Epoch 0 Global_step 6000	Train_loss: 0.5816	Trainlogloss: 0.5816	logloss: 0.5831	Eval_GAUC: 0.7346	Eval_AUC: 0.7362	Inference_time: 10.3096
Epoch 0 Global_step 7000	Train_loss: 0.5713	Trainlogloss: 0.5713	logloss: 0.5799	Eval_GAUC: 0.7412	Eval_AUC: 0.7423	Inference_time: 8.9266
Epoch 0 Global_step 8000	Train_loss: 0.5714	Trainlogloss: 0.5714	logloss: 0.5761	Eval_GAUC: 0.7483	Eval_AUC: 0.7501	Inference_time: 11.3904
Epoch 0 Global_step 9000	Train_loss: 0.5651	Trainlogloss: 0.5651	logloss: 0.5723	Eval_GAUC: 0.7577	Eval_AUC: 0.7590	Inference_time: 13.6066
Epoch 0 Global_step 10000	Train_loss: 0.5596	Trainlogloss: 0.5596	logloss: 0.5639	Eval_GAUC: 0.7681	Eval_AUC: 0.7697	Inference_time: 11.8913
Epoch 0 Global_step 11000	Train_loss: 0.5509	Trainlogloss: 0.5509	logloss: 0.5549	Eval_GAUC: 0.7760	Eval_AUC: 0.7790	Inference_time: 13.5657
