2022-05-01 20:17:21.443215: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2022-05-01 20:17:21.759469: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: NVIDIA GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.797
pciBusID: 0000:84:00.0
totalMemory: 7.93GiB freeMemory: 5.45GiB
2022-05-01 20:17:21.759545: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: NVIDIA GeForce GTX 1080, pci bus id: 0000:84:00.0, compute capability: 6.1)
hidden_units:128
numHot:40
pruning:0
item_emb(graph):False
gnn_layer:4
gnn_method:gcn_att4_rn
gcl:False
gcl_ran_num:1000
gcl_w:2.0
user_emb:True
gnn_user_emb:False
gcl_user_emb:False
start constructing adjcent table
loading item table from adj folder
loading user table from adj folder
ready
128
logloss: 0.7035	 test_gauc: 0.4768	 test_auc: 0.4859
Epoch 0 Global_step 1000	Train_loss: 0.6754	logloss: 0.6679	Eval_GAUC: 0.6292	Eval_AUC: 0.6304
Epoch 0 Global_step 2000	Train_loss: 0.6559	logloss: 0.6584	Eval_GAUC: 0.6429	Eval_AUC: 0.6495
Epoch 0 Global_step 3000	Train_loss: 0.6511	logloss: 0.6532	Eval_GAUC: 0.6458	Eval_AUC: 0.6549
Epoch 0 Global_step 4000	Train_loss: 0.6474	logloss: 0.6468	Eval_GAUC: 0.6512	Eval_AUC: 0.6596
Epoch 0 Global_step 5000	Train_loss: 0.6397	logloss: 0.6458	Eval_GAUC: 0.6543	Eval_AUC: 0.6617
Epoch 0 Global_step 6000	Train_loss: 0.6403	logloss: 0.6507	Eval_GAUC: 0.6591	Eval_AUC: 0.6639
Epoch 0 Global_step 7000	Train_loss: 0.6406	logloss: 0.6439	Eval_GAUC: 0.6591	Eval_AUC: 0.6685
Epoch 0 Global_step 8000	Train_loss: 0.6379	logloss: 0.6426	Eval_GAUC: 0.6598	Eval_AUC: 0.6669
Epoch 0 Global_step 9000	Train_loss: 0.6373	logloss: 0.6442	Eval_GAUC: 0.6611	Eval_AUC: 0.6714
Epoch 0 Global_step 10000	Train_loss: 0.6330	logloss: 0.6391	Eval_GAUC: 0.6631	Eval_AUC: 0.6742
Epoch 0 Global_step 11000	Train_loss: 0.6367	logloss: 0.6395	Eval_GAUC: 0.6626	Eval_AUC: 0.6727
Epoch 0 Global_step 12000	Train_loss: 0.6344	logloss: 0.6373	Eval_GAUC: 0.6661	Eval_AUC: 0.6772
Epoch 0 Global_step 13000	Train_loss: 0.6333	logloss: 0.6364	Eval_GAUC: 0.6699	Eval_AUC: 0.6808
Epoch 0 Global_step 14000	Train_loss: 0.6295	logloss: 0.6386	Eval_GAUC: 0.6720	Eval_AUC: 0.6791
Epoch 0 Global_step 15000	Train_loss: 0.6300	logloss: 0.6360	Eval_GAUC: 0.6715	Eval_AUC: 0.6801
Epoch 0 Global_step 16000	Train_loss: 0.6290	logloss: 0.6342	Eval_GAUC: 0.6722	Eval_AUC: 0.6828
Epoch 0 Global_step 17000	Train_loss: 0.6310	logloss: 0.6350	Eval_GAUC: 0.6730	Eval_AUC: 0.6814
